News,Price_Direction_Up,Price_Direction_Constant,Price_Direction_Down,Asset_Comparision,Past_Information,Future_Information,Price_Sentiment,label_num
"april gold down 20 cents to settle at $1,116.10/oz",0,0,1,0,1,0,negative,1
gold suffers third straight daily decline,0,0,1,0,1,0,negative,1
Gold futures edge up after two-session decline,1,0,0,0,1,0,positive,2
dent research : is gold's day in the sun coming soon?,0,0,0,0,0,1,none,3
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",0,0,1,0,1,0,negative,1
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",1,0,0,0,1,0,positive,2
"gold falls by rs 25 on sluggish demand, global cues",0,0,1,0,1,0,negative,1
"Gold futures fall for the session, but gain for the week",1,0,1,0,1,0,positive,2
"Gold struggles; silver slides, base metals falter",0,1,0,1,1,0,neutral,0
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",1,0,0,0,1,0,positive,2
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",1,0,0,0,1,0,positive,2
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",0,0,1,0,1,0,negative,1
"gold loses 1.3%, but logs monthly gain of 6.3%",1,0,1,0,1,0,positive,2
gold recovery? here's one way to play it,1,0,0,0,0,1,positive,2
"gold prices rebound rs 350 on global cues, weak rupee",1,0,0,1,1,0,positive,2
"can investment in gold, sensex & ppfs give the same returns?",0,0,0,0,0,1,none,3
gold rush spooks economy as trade deficit surges to $17.8 bn,1,0,0,0,1,0,positive,2
"Gold futures down at Rs 30,244 ",0,0,1,0,1,0,negative,1
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",1,0,0,0,1,0,positive,2
gold prices slip lower as dollar remains supported,0,0,1,1,1,0,negative,1
gold to trade in 28670-29160 range: achiievers equities,0,1,0,0,0,1,neutral,0
"Gold holds firm near $1,200 on dovish Fed",0,1,0,0,1,0,neutral,0
Gold prices finish at a more than one-week high,1,0,0,0,1,0,positive,2
india : is gold a good investment in a volatile market?,0,0,0,0,0,1,none,3
gold futures down over $20/oz ahead of settlement,0,0,1,0,1,0,negative,1
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",1,0,0,0,1,0,positive,2
april gold up $1.40 to end the day at $554.40/oz in ny,1,0,0,0,1,0,positive,2
"Gold, Silver may trade lower today: Angel Commodities",0,0,1,1,1,0,negative,1
"KAZ Minerals lifts copper, gold guidance",1,0,0,1,1,0,positive,2
Gold little-changed after data,0,1,0,0,1,0,neutral,0
germany : why gold market in germany is thriving,1,0,0,0,1,0,positive,2
"august gold ends up $1.60, or 0.2%, at $936.20",1,0,0,0,1,0,positive,2
gold futures at highest since early december,1,0,0,0,1,0,positive,2
gold futures close narrowly lower,0,0,1,0,1,0,negative,1
Gold edges up ahead of G20 meeting; set to post second weekly gain,1,0,0,0,1,0,positive,2
feb gold falls 10c to $452.20/oz in morning ny trade,0,0,1,0,1,0,negative,1
gold little changed; copper sinks,0,1,0,1,1,0,neutral,0
gold swings between gains and drops on stronger dollar,1,0,1,1,1,0,positive,2
charts : gold gld etf update - breakdown ?,0,0,0,0,0,1,none,3
"feb. gold down $1.20 to close at $1,596.70/oz",0,0,1,0,1,0,negative,1
philly gold and silver index falls 0.5% to end at 93.53,0,0,1,1,1,0,negative,1
"Dec. gold settles at $1,269.90/oz, up $7, or 0.6%",1,0,0,0,1,0,positive,2
Gold Prices Hold onto Gains Ahead of FOMC Statement,0,1,0,0,1,0,neutral,0
"December gold trades 0.8% higher at $1,289/oz.",1,0,0,0,1,0,positive,2
gold bulls push for the exits on strong dollar and lack of fear,0,0,1,1,1,0,negative,1
"gold ends 0.5% higher, at $1,159.60 an ounce",1,0,0,0,1,0,positive,2
"gold futures soar above $1,200, amid escalating conflict in yemen",1,0,0,0,1,0,positive,2
gold settles at its highest level in a week,1,0,0,0,1,0,positive,2
"gold prices rise for a third day, buoyed by geopolitical worries",1,0,0,0,1,0,positive,2
Gold holds near 3-1/2 week low as investors opt for riskier assets,0,1,1,0,1,0,negative,1
"gold ends higher, logs biggest weekly gain since 2016",1,0,0,0,1,0,positive,2
"August gold rises 0.2% at $1,257.50/oz.",1,0,0,0,1,0,positive,2
gold futures at seven-week low,0,0,1,0,1,0,negative,1
gold edges down as dollar gains on fed rate hike view,0,0,1,1,1,0,negative,1
van eck : tighter global monetary policy to support gold market,1,0,0,0,0,1,positive,2
"Gold rebounds to Rs 31,860 on firm global cues",1,0,0,0,1,0,positive,2
"december gold gains $4.10, or 0.3%, to $1,345.30/oz.",1,0,0,0,1,0,positive,2
gold prices settle at lowest level in more than a week,0,0,1,0,1,0,negative,1
"dec. gold down 30 cents at $1,310/oz on globex",0,0,1,0,1,0,negative,1
"Dec. gold settles at $1,323.70/oz, down $1.90, or 0.1%",0,0,1,0,1,0,negative,1
"Gold jumps 0.3% from settlement price after Fed minutes to $1,237.40 an ounce",1,0,0,0,1,0,positive,2
"gold lost 1% to $1,121.80 an ounce",0,0,1,0,1,0,negative,1
gold futures fall for a third straight session,0,0,1,0,1,0,negative,1
gold has best monthly performance since nov. 2009,1,0,0,0,1,0,positive,2
gold prices settle at lowest level in nearly 8 weeks,0,0,1,0,1,0,negative,1
"gold futures climb back above $1,200/oz on comex",1,0,0,0,1,0,positive,2
metals shares turn higher; gold futures still lower,0,0,1,0,1,0,negative,1
gold declines first time in seven days after greek elections,0,0,1,0,1,0,negative,1
gold gains on weaker dollar; markets brace for ecb decision,1,0,0,1,1,0,positive,2
gold holds modest loss after ppi report,0,0,1,0,1,0,negative,1
February gold contract notches highest settlement in over a week,1,0,0,0,1,0,positive,2
"August gold climbs by $10.60, or 0.9%, to settle at $1,260/oz",1,0,0,0,1,0,positive,2
"gold finishes higher at $1,103.70/oz",1,0,0,0,1,0,positive,2
debt : global debt surges - gold and silver investors' patience will soon pay off,1,0,0,1,0,1,positive,2
"gold futures open higher, as dollar drops",1,0,0,1,1,0,positive,2
gold futures close with a more than $7 loss,0,0,1,0,1,0,negative,1
"gold surrenders 11-month highs on stronger dollar, upbeat economic data",0,0,1,1,1,0,negative,1
gold edges up in electronic trade post-fed minutes,1,0,0,0,1,0,positive,2
when will gold's 'summer doldrums' end? history says pretty soon,0,0,0,0,0,1,none,3
Gold ends lower as rise in government bond yields dulls investment interest,0,0,1,0,1,0,negative,1
gold jewellery exports fall 70% in july,0,0,0,1,1,0,none,3
"silver, gold near lifetime highs, dollar loses ground",0,0,1,1,1,0,negative,1
african barrick gold production declines,0,0,0,0,1,0,none,3
"Gold futures down at Rs 30,568 on weak global cues",0,0,1,0,1,0,negative,1
"metals shares fall, but gold futures edge up",1,0,0,0,1,0,positive,2
